id,category_id,adventure_id,created_at,updated_at
80,9,31,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
81,3,31,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
82,,31,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
83,5,31,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
84,16,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
85,1,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
86,7,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
87,14,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
88,8,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
89,15,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
90,17,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
91,,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
92,11,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
93,4,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
94,5,32,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
95,8,33,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
96,18,33,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
97,17,33,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
98,,33,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
99,5,33,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
100,19,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
101,8,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
102,9,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
103,10,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
104,,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
105,5,34,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
106,8,35,2014-07-05 18:35:39 UTC,2014-07-05 18:35:39 UTC
