1,Kota Kinabalu,116.115777,5.976474,131,2014-07-05 18:08:19 UTC,2014-07-05 18:08:19 UTC
2,Kuching,110.3442199,1.530976,131,2014-07-05 18:08:21 UTC,2014-07-05 18:08:21 UTC
3,Kuala Lumpur,101.686855,3.139003,131,2014-07-05 18:08:22 UTC,2014-07-05 18:08:22 UTC
4,Yangon,96.15,16.8,149,2014-07-05 18:08:23 UTC,2014-07-05 18:08:23 UTC
5,Beijing,116.407526,39.90403,44,2014-07-05 18:08:24 UTC,2014-07-05 18:08:24 UTC
6,Kunming,102.832892,24.880095,44,2014-07-05 18:08:25 UTC,2014-07-05 18:08:25 UTC
7,Shanghai,121.473701,31.230416,44,2014-07-05 18:08:26 UTC,2014-07-05 18:08:26 UTC
8,Hong Kong,114.109497,22.396428,97,2014-07-05 18:08:32 UTC,2014-07-05 18:08:32 UTC
9,Paro,89.4166516,27.4285949,25,2014-07-05 18:08:38 UTC,2014-07-05 18:08:38 UTC
10,Yogyakarta,110.3705267,-7.797068399999999,101,2014-07-05 18:08:40 UTC,2014-07-05 18:08:40 UTC
11,Medan,98.66929979999999,3.5915405,101,2014-07-05 18:08:40 UTC,2014-07-05 18:08:40 UTC
12,Jakarta,106.845599,-6.2087634,101,2014-07-05 18:08:41 UTC,2014-07-05 18:08:41 UTC
13,Sanur,35.246147,32.358901,242,2014-07-05 18:08:44 UTC,2014-07-05 18:08:44 UTC
14,Ubud,115.263298,-8.519268,101,2014-07-05 18:08:45 UTC,2014-07-05 18:08:45 UTC
15,Malé,73.50888900000001,4.175278,132,2014-07-05 18:08:45 UTC,2014-07-05 18:08:45 UTC
16,Singapore,103.819836,1.352083,195,2014-07-05 18:08:46 UTC,2014-07-05 18:08:46 UTC
17,Cochin,76.26730409999999,9.9312328,100,2014-07-05 18:08:47 UTC,2014-07-05 18:08:47 UTC
18,Delhi,77.22496,28.635308,100,2014-07-05 18:08:47 UTC,2014-07-05 18:08:47 UTC
19,Kochi,76.26730409999999,9.9312328,100,2014-07-05 18:08:53 UTC,2014-07-05 18:08:53 UTC
20,Tokyo,139.6917064,35.6894875,108,2014-07-05 18:08:59 UTC,2014-07-05 18:08:59 UTC
21,Osaka,135.5021651,34.6937378,108,2014-07-05 18:09:00 UTC,2014-07-05 18:09:00 UTC
22,Ulaan Baatar,106.92,47.91999999999999,144,2014-07-05 18:09:02 UTC,2014-07-05 18:09:02 UTC
23,Ulaanbaatar,106.92,47.91999999999999,144,2014-07-05 18:09:02 UTC,2014-07-05 18:09:02 UTC
24,Kathmandu,85.333333,27.7,152,2014-07-05 18:09:03 UTC,2014-07-05 18:09:03 UTC
25,Manila,120.9842195,14.5995124,172,2014-07-05 18:09:07 UTC,2014-07-05 18:09:07 UTC
26,Moscow,37.6173,55.755826,180,2014-07-05 18:09:08 UTC,2014-07-05 18:09:08 UTC
27,Tehran,51.423056,35.696111,102,2014-07-05 18:09:09 UTC,2014-07-05 18:09:09 UTC
28,St Petersburg,-82.64,27.773056,228,2014-07-05 18:09:10 UTC,2014-07-05 18:09:10 UTC
29,Negombo,79.858734,7.1894643,203,2014-07-05 18:09:10 UTC,2014-07-05 18:09:10 UTC
30,Bangkok,100.5241235,13.7278956,214,2014-07-05 18:09:11 UTC,2014-07-05 18:09:11 UTC
31,Chiang Mai,98.9931189,18.7877438,214,2014-07-05 18:09:17 UTC,2014-07-05 18:09:17 UTC
32,Phuket,98.3922504,7.8804479,214,2014-07-05 18:09:28 UTC,2014-07-05 18:09:28 UTC
33,Phi Phi Island,98.77841,7.740738,214,2014-07-05 18:09:29 UTC,2014-07-05 18:09:29 UTC
34,Koh Samui,100.0135929,9.5120168,214,2014-07-05 18:09:29 UTC,2014-07-05 18:09:29 UTC
35,Koh Tao,99.84039589999999,10.0956102,214,2014-07-05 18:09:31 UTC,2014-07-05 18:09:31 UTC
36,Tashkent,69.216667,41.266667,231,2014-07-05 18:09:35 UTC,2014-07-05 18:09:35 UTC
37,Hanoi,105.85,21.033333,234,2014-07-05 18:09:36 UTC,2014-07-05 18:09:36 UTC
