id,name,created_at,updated_at
1,Wildlife/Nature,2014-07-05 18:35:32 UTC,2014-07-05 18:35:32 UTC
2,Comfort,2014-07-05 18:35:32 UTC,2014-07-05 18:35:32 UTC
3,Upgraded,2014-07-05 18:35:32 UTC,2014-07-05 18:35:32 UTC
4,NewTrips,2014-07-05 18:35:32 UTC,2014-07-05 18:35:32 UTC
5,SmallGroup,2014-07-05 18:35:32 UTC,2014-07-05 18:35:32 UTC
6,Family,2014-07-05 18:35:33 UTC,2014-07-05 18:35:33 UTC
7,Trekking/Hiking,2014-07-05 18:35:33 UTC,2014-07-05 18:35:33 UTC
8,Culture/History,2014-07-05 18:35:33 UTC,2014-07-05 18:35:33 UTC
9,Classic,2014-07-05 18:35:33 UTC,2014-07-05 18:35:33 UTC
10,Standard,2014-07-05 18:35:33 UTC,2014-07-05 18:35:33 UTC
11,Merchandising,2014-07-05 18:35:34 UTC,2014-07-05 18:35:34 UTC
12,DiscoveryAdventures,2014-07-05 18:35:35 UTC,2014-07-05 18:35:35 UTC
13,StaffPicks,2014-07-05 18:35:36 UTC,2014-07-05 18:35:36 UTC
14,Cycling,2014-07-05 18:35:36 UTC,2014-07-05 18:35:36 UTC
15,Active,2014-07-05 18:35:36 UTC,2014-07-05 18:35:36 UTC
16,Photography,2014-07-05 18:35:36 UTC,2014-07-05 18:35:36 UTC
17,Basic,2014-07-05 18:35:37 UTC,2014-07-05 18:35:37 UTC
18,Yolo,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
19,ChillOut,2014-07-05 18:35:38 UTC,2014-07-05 18:35:38 UTC
20,TopSeller,2014-07-05 18:35:42 UTC,2014-07-05 18:35:42 UTC
21,Bucketlist,2014-07-05 18:35:44 UTC,2014-07-05 18:35:44 UTC
22,Festivals,2014-07-05 18:35:48 UTC,2014-07-05 18:35:48 UTC
